x1,x2,x3,log10sigmav
-3,0.8,-3.4999999999999996,-2.489493447992679
-3,0.8,-3.1999999999999997,-1.88949346500149
-3,0.8,-2.9,-1.2894935327147785
-3,0.8,-2.5999999999999996,-0.6894938022861153
-3,0.8,-2.3,-0.0894948754670696
-3,0.8,-2.0,0.510500852152232
-3,0.8,-1.6999999999999997,1.1104838439679428
-3,0.8,-1.3999999999999995,1.7104161406086307
-3,0.8,-1.0999999999999996,2.310146726557918
-3,0.8,-0.7999999999999998,2.9090760337826804
-3,0.8,-0.5,3.5048427978169165
-3,1.0,-5.6,-7.661419628221532
-3,1.0,-5.3,-7.061419628222145
-3,1.0,-5.0,-6.461419628224582
-3,1.0,-4.699999999999999,-5.861419628234281
-3,1.0,-4.3999999999999995,-5.2614196282728996
-3,1.0,-4.1,-4.661419628426643
-3,1.0,-3.8,-4.061419629038704
-3,1.0,-3.4999999999999996,-3.4614196314753602
-3,1.0,-3.1999999999999997,-2.8614196411758663
-3,1.0,-2.9,-2.2614196797942694
-3,1.0,-2.5999999999999996,-1.6614198335368078
-3,1.0,-2.3,-1.061420445595437
-3,1.0,-2.0,-0.46142288222184347
-3,1.0,-1.6999999999999997,0.13856741775637613
-3,1.0,-1.3999999999999995,0.7385288070209366
-3,1.0,-1.0999999999999996,1.3383751859340978
-3,1.0,-0.7999999999999998,1.937765048074903
-3,1.0,-0.5,2.5353586065737694
-3,1.2000000000000002,-5.6,-8.354512215954264
-3,1.2000000000000002,-5.3,-7.7545122159542865
-3,1.2000000000000002,-5.0,-7.15451221595437
-3,1.2000000000000002,-4.699999999999999,-6.554512215954701
-3,1.2000000000000002,-4.3999999999999995,-5.954512215956025
-3,1.2000000000000002,-4.1,-5.354512215961295
-3,1.2000000000000002,-3.8,-4.754512215982275
-3,1.2000000000000002,-3.4999999999999996,-4.154512216065792
-3,1.2000000000000002,-3.1999999999999997,-3.5545122163982867
-3,1.2000000000000002,-2.9,-2.9545122177219683
-3,1.2000000000000002,-2.5999999999999996,-2.3545122229916338
-3,1.2000000000000002,-2.3,-1.754512243970492
-3,1.2000000000000002,-2.0,-1.1545123274878824
-3,1.2000000000000002,-1.6999999999999997,-0.5545126599615713
-3,1.2000000000000002,-1.3999999999999995,0.045486016674963436
-3,1.2000000000000002,-1.0999999999999996,0.6454807520408221
-3,1.2000000000000002,-0.7999999999999998,1.2454598527005745
-3,1.2000000000000002,-0.5,1.845377581226798
-3,1.4000000000000004,-5.6,-8.648574834354736
-3,1.4000000000000004,-5.3,-8.048574834354737
-3,1.4000000000000004,-5.0,-7.448574834354738
-3,1.4000000000000004,-4.699999999999999,-6.848574834354739
-3,1.4000000000000004,-4.3999999999999995,-6.248574834354749
-3,1.4000000000000004,-4.1,-5.648574834354791
-3,1.4000000000000004,-3.8,-5.048574834354953
-3,1.4000000000000004,-3.4999999999999996,-4.448574834355597
-3,1.4000000000000004,-3.1999999999999997,-3.848574834358162
-3,1.4000000000000004,-2.9,-3.2485748343683736
-3,1.4000000000000004,-2.5999999999999996,-2.6485748344090245
-3,1.4000000000000004,-2.3,-2.0485748345708643
-3,1.4000000000000004,-2.0,-1.4485748352151944
-3,1.4000000000000004,-1.6999999999999997,-0.8485748377808676
-3,1.4000000000000004,-1.3999999999999995,-0.248574848003746
-3,1.4000000000000004,-1.0999999999999996,0.351425111159599
-3,1.4000000000000004,-0.7999999999999998,0.9514249463885616
-3,1.4000000000000004,-0.5,1.5514242555916722
-3,1.6,-5.6,-8.889694907056812
-3,1.6,-5.3,-8.289694907056813
-3,1.6,-5.0,-7.689694907056814
-3,1.6,-4.699999999999999,-7.089694907056813
-3,1.6,-4.3999999999999995,-6.489694907056817
-3,1.6,-4.1,-5.889694907056832
-3,1.6,-3.8,-5.289694907056891
-3,1.6,-3.4999999999999996,-4.68969490705712
-3,1.6,-3.1999999999999997,-4.089694907058037
-3,1.6,-2.9,-3.489694907061689
-3,1.6,-2.5999999999999996,-2.8896949070762212
-3,1.6,-2.3,-2.289694907134081
-3,1.6,-2.0,-1.6896949073644536
-3,1.6,-1.6999999999999997,-1.0896949082820566
-3,1.6,-1.3999999999999995,-0.4896949119426309
-3,1.6,-1.0999999999999996,0.11030507336503462
-3,1.6,-0.7999999999999998,0.7103050129826446
-3,1.6,-0.5,1.310304742623279
-3,1.8000000000000003,-5.6,-9.112407598976523
-3,1.8000000000000003,-5.3,-8.512407598976523
-3,1.8000000000000003,-5.0,-7.9124075989765235
